NO_CAS_ADM,OBJECTID,Sum_AreaSqKm
58,324,2.28
16,355,2.72
35,306,3.08
48,313,2.28
54,331,9.67
4,357,5.47
15,309,6.6
8,326,12.33
77,342,1.41
65,360,16.1
38,325,20.3
42,321,10.29
74,320,7.55
66,330,6.06
75,314,3.82
53,348,10.99
26,316,1.99
13,353,3.55
31,300,2.01
71,297,14.53
27,319,6.64
78,341,8.62
41,303,2.48
10,307,2.65
59,301,12.06
73,322,8.65
28,333,13.87
52,358,6.04
64,343,17.88
67,308,3.76
18,334,6.02
47,317,3.71
63,359,16.54
37,304,4.69
61,323,15.06
25,299,2.99
56,329,23.55
51,332,17.84
62,344,4.51
23,349,4.73
46,346,5.32
45,352,3.99
44,328,13.98
19,315,8.29
72,296,19.75
40,337,8.98
14,327,10.31
22,336,3.8
5,354,1.31
50,310,6.11
32,298,4.69
57,302,12.81
49,305,7.05
17,335,4.89
9,318,9.29
3,312,1.33
29,311,4.06
30,356,3.44
55,347,18.93
39,338,8.68
43,351,5.11
76,339,4.02
21,345,9.76
34,340,4.04
33,350,5.14
20,361,6.3
