YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,1,4,8.0,2,5.47,0.37,2.0794415416798357,0.3148107398400336,47.0,10.0
2005,1,5,4.0,7,1.31,5.34,1.3862943611198906,1.8468787684491346,32.0,63.0
2005,1,8,3.0,3,12.33,0.24,1.0986122886681098,0.2151113796169455,25.0,6.0
2005,1,9,4.5,12,9.29,1.29,1.5040773967762742,0.8285518175661483,34.0,27.0
2005,1,10,8.0,4,2.65,1.51,2.0794415416798357,0.9202827531436925,47.0,31.0
2005,1,13,5.0,8,3.55,2.25,1.6094379124341003,1.1786549963416462,37.0,40.0
2005,1,14,3.0,10,10.31,0.97,1.0986122886681098,0.6780335427498971,25.0,22.0
2005,1,15,4.0,6,6.6,0.91,1.3862943611198906,0.6471032420585385,32.0,21.0
2005,1,16,6.0,3,2.72,1.1,1.791759469228055,0.7419373447293773,41.0,24.0
2005,1,17,3.0,8,4.89,1.64,1.0986122886681098,0.9707789171582247,25.0,32.0
2005,1,18,3.0,9,6.02,1.5,1.0986122886681098,0.9162907318741551,25.0,30.0
2005,1,19,7.0,7,8.29,0.84,1.9459101490553132,0.6097655716208942,44.0,20.0
2005,1,20,1.0,5,6.3,0.79,0.0,0.5822156198526637,0.0,19.0
2005,1,21,3.0,10,9.76,1.02,1.0986122886681098,0.7030975114131134,25.0,23.0
2005,1,22,4.0,3,3.8,0.79,1.3862943611198906,0.5822156198526637,32.0,19.0
2005,1,23,1.0,4,4.73,0.85,0.0,0.6151856390902335,0.0,20.0
2005,1,25,3.0,5,2.99,1.67,1.0986122886681098,0.9820784724121582,25.0,33.0
2005,1,26,2.5,10,1.99,5.03,0.9162907318741551,1.7967470107390942,21.0,61.0
2005,1,27,6.5,4,6.64,0.6,1.8718021769015913,0.47000362924573563,43.0,15.0
2005,1,28,1.0,3,13.87,0.22,0.0,0.19885085874516517,0.0,6.0
2005,1,29,3.0,4,4.06,0.99,1.0986122886681098,0.688134638736401,25.0,23.0
2005,1,30,2.0,11,3.44,3.2,0.6931471805599453,1.4350845252893227,16.0,48.0
2005,1,31,2.0,7,2.01,3.48,0.6931471805599453,1.4996230464268938,16.0,51.0
2005,1,33,3.0,8,5.14,1.56,1.0986122886681098,0.9400072584914712,25.0,31.0
