NO_CAS_ADM,AREA_SQ_KM
58,2.28
16,2.72
35,3.08
48,2.28
54,9.67
4,5.47
15,6.6
8,12.33
77,1.41
65,16.1
38,20.3
42,10.29
74,7.55
66,6.06
75,3.82
53,10.99
26,1.99
13,3.55
31,2.01
71,14.53
27,6.64
78,8.62
41,2.48
10,2.65
59,12.06
73,8.65
28,13.87
52,6.04
64,17.88
67,3.76
18,6.02
47,3.71
63,16.54
37,4.69
61,15.06
25,2.99
56,23.55
51,17.84
62,4.51
23,4.73
46,5.32
45,3.99
44,13.98
19,8.29
72,19.75
40,8.98
14,10.31
22,3.8
5,1.31
50,6.11
32,4.69
57,12.81
49,7.05
17,4.89
9,9.29
3,1.33
29,4.06
30,3.44
55,18.93
39,8.68
43,5.11
76,4.02
21,9.76
34,4.04
33,5.14
20,6.3
