CASERNE,MUNICIPALITY/BOROUGH,CODE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3,Le Sud-Ouest,REM20,4615.5,4550.4,4460.4,4650.6,4437.6,4514.4,4548.5,4741.7,4668.1,4693.5,4810.8,4969.9,5077.5,5135.2,5188.9,5369.4,5466.1,5390.4,5499.8,5929.2
15,Le Sud-Ouest,REM20,4615.5,4550.4,4460.4,4650.6,4437.6,4514.4,4548.5,4741.7,4668.1,4693.5,4810.8,4969.9,5077.5,5135.2,5188.9,5369.4,5466.1,5390.4,5499.8,5929.2
23,Le Sud-Ouest,REM20,4615.5,4550.4,4460.4,4650.6,4437.6,4514.4,4548.5,4741.7,4668.1,4693.5,4810.8,4969.9,5077.5,5135.2,5188.9,5369.4,5466.1,5390.4,5499.8,5929.2
33,Le Sud-Ouest,REM20,4615.5,4550.4,4460.4,4650.6,4437.6,4514.4,4548.5,4741.7,4668.1,4693.5,4810.8,4969.9,5077.5,5135.2,5188.9,5369.4,5466.1,5390.4,5499.8,5929.2
9,Villeray-Saint-Michel-Parc-Extension,REM25,9013.5,9097.0,8857.1,8853.0,8962.8,8597.9,8717.1,8776.7,8744.1,8809.4,8971.3,9034.8,9049.5,9066.1,8847.6,8981.9,9005.2,8715.0,8776.6,9345.7
37,Villeray-Saint-Michel-Parc-Extension,REM25,9013.5,9097.0,8857.1,8853.0,8962.8,8597.9,8717.1,8776.7,8744.1,8809.4,8971.3,9034.8,9049.5,9066.1,8847.6,8981.9,9005.2,8715.0,8776.6,9345.7
41,Villeray-Saint-Michel-Parc-Extension,REM25,9013.5,9097.0,8857.1,8853.0,8962.8,8597.9,8717.1,8776.7,8744.1,8809.4,8971.3,9034.8,9049.5,9066.1,8847.6,8981.9,9005.2,8715.0,8776.6,9345.7
14,Rivière-Des-Prairies-Pointe-Aux-Trembles,REM33,2282.5,2282.5,2542.7,2547.7,2478.3,2542.9,2577.3,2611.0,2560.4,2570.9,2610.3,2638.7,2644.5,2663.5,2623.9,2712.3,2769.5,2732.6,2691.9,2711.6
38,Rivière-Des-Prairies-Pointe-Aux-Trembles,REM33,2282.5,2282.5,2542.7,2547.7,2478.3,2542.9,2577.3,2611.0,2560.4,2570.9,2610.3,2638.7,2644.5,2663.5,2623.9,2712.3,2769.5,2732.6,2691.9,2711.6
44,Rivière-Des-Prairies-Pointe-Aux-Trembles,REM33,2282.5,2282.5,2542.7,2547.7,2478.3,2542.9,2577.3,2611.0,2560.4,2570.9,2610.3,2638.7,2644.5,2663.5,2623.9,2712.3,2769.5,2732.6,2691.9,2711.6
32,Rivière-Des-Prairies-Pointe-Aux-Trembles,REM33,2282.5,2282.5,2542.7,2547.7,2478.3,2542.9,2577.3,2611.0,2560.4,2570.9,2610.3,2638.7,2644.5,2663.5,2623.9,2712.3,2769.5,2732.6,2691.9,2711.6
4,Côte-Des-Neiges-Notre-Dame-De-Grâce,REM34,7968.8,8072.9,7894.5,7849.6,7914.7,7782.9,7914.0,7980.7,7797.2,7859.2,7999.9,8082.3,8098.6,8156.2,8042.9,8203.7,8261.4,7969.4,8118.2,8666.5
27,Côte-Des-Neiges-Notre-Dame-De-Grâce,REM34,7968.8,8072.9,7894.5,7849.6,7914.7,7782.9,7914.0,7980.7,7797.2,7859.2,7999.9,8082.3,8098.6,8156.2,8042.9,8203.7,8261.4,7969.4,8118.2,8666.5
34,Côte-Des-Neiges-Notre-Dame-De-Grâce,REM34,7968.8,8072.9,7894.5,7849.6,7914.7,7782.9,7914.0,7980.7,7797.2,7859.2,7999.9,8082.3,8098.6,8156.2,8042.9,8203.7,8261.4,7969.4,8118.2,8666.5
46,Côte-Des-Neiges-Notre-Dame-De-Grâce,REM34,7968.8,8072.9,7894.5,7849.6,7914.7,7782.9,7914.0,7980.7,7797.2,7859.2,7999.9,8082.3,8098.6,8156.2,8042.9,8203.7,8261.4,7969.4,8118.2,8666.5
17,Montréal-Nord,REM16,7822.8,7800.8,7739.8,7731.5,7571.7,7452.1,7576.6,7653.2,7669.2,7764.4,7933.7,8031.1,8035.1,8063.5,7725.6,7921.4,8039.6,7818.6,7825.0,8400.9
18,Montréal-Nord,REM16,7822.8,7800.8,7739.8,7731.5,7571.7,7452.1,7576.6,7653.2,7669.2,7764.4,7933.7,8031.1,8035.1,8063.5,7725.6,7921.4,8039.6,7818.6,7825.0,8400.9
16,Le Plateau-Mont-Royal,REM21,12478.9,12758.5,12690.2,12759.6,12750.7,12621.5,12749.5,12763.3,12525.6,12654.1,12845.1,12980.1,13035.4,13025.2,13082.8,13345.9,13498.4,13183.2,13620.9,13987.0
26,Le Plateau-Mont-Royal,REM21,12478.9,12758.5,12690.2,12759.6,12750.7,12621.5,12749.5,12763.3,12525.6,12654.1,12845.1,12980.1,13035.4,13025.2,13082.8,13345.9,13498.4,13183.2,13620.9,13987.0
30,Le Plateau-Mont-Royal,REM21,12478.9,12758.5,12690.2,12759.6,12750.7,12621.5,12749.5,12763.3,12525.6,12654.1,12845.1,12980.1,13035.4,13025.2,13082.8,13345.9,13498.4,13183.2,13620.9,13987.0
21,Saint-Léonard,REM14,5284.7,5277.3,5250.4,5480.1,5299.9,5424.6,5538.4,5657.2,5746.6,5841.3,5983.2,6057.6,6117.9,6151.8,5986.0,6136.4,6230.8,6091.9,5998.7,6190.4
22,Saint-Léonard,REM14,5284.7,5277.3,5250.4,5480.1,5299.9,5424.6,5538.4,5657.2,5746.6,5841.3,5983.2,6057.6,6117.9,6151.8,5986.0,6136.4,6230.8,6091.9,5998.7,6190.4
28,Anjou,REM09,2858.7,2892.6,2910.2,3052.6,2950.8,3048.7,3112.5,3153.9,3121.9,3170.4,3214.8,3253.1,3283.6,3297.4,3270.1,3357.2,3399.3,3320.0,3305.7,3333.4
29,Rosemont-La Petite-Patrie,REM24,8566.9,8567.3,8474.7,8614.7,8419.0,8542.1,8620.0,8722.0,8576.7,8675.8,8853.1,8967.2,9071.4,9140.7,9066.9,9284.5,9387.9,9195.7,9213.9,9497.9
31,Rosemont-La Petite-Patrie,REM24,8566.9,8567.3,8474.7,8614.7,8419.0,8542.1,8620.0,8722.0,8576.7,8675.8,8853.1,8967.2,9071.4,9140.7,9066.9,9284.5,9387.9,9195.7,9213.9,9497.9
47,Rosemont-La Petite-Patrie,REM24,8566.9,8567.3,8474.7,8614.7,8419.0,8542.1,8620.0,8722.0,8576.7,8675.8,8853.1,8967.2,9071.4,9140.7,9066.9,9284.5,9387.9,9195.7,9213.9,9497.9
50,Rosemont-La Petite-Patrie,REM24,8566.9,8567.3,8474.7,8614.7,8419.0,8542.1,8620.0,8722.0,8576.7,8675.8,8853.1,8967.2,9071.4,9140.7,9066.9,9284.5,9387.9,9195.7,9213.9,9497.9
