Geography,Type,2021,2016,Percent change (%),Number of households 2016,Number of households 2021,Number of households % change,Median after-tax income of households 2015,Median after-tax income of households 2020,Median after-tax income of households % change,Latitude,Longitude,geometry
Laval,V,438366,422993,3.6,160325,169785,5.9,65500,73500,12.2,45.6066487,-73.712409,POINT (-73.712409 45.6066487)
Longueuil,V,254483,239897,6.1,105550,113085,7.1,55600,62000,11.5,45.5135059,-73.4329187,POINT (-73.4329187 45.5135059)
Terrebonne,V,119944,111575,7.5,41800,45250,8.3,72000,81000,12.5,45.6929818,-73.63311019999999,POINT (-73.63311019999999 45.6929818)
Saint-Jean-sur-Richelieu,V,97873,95114,2.9,40840,42915,5.1,58000,64500,11.2,45.305771,-73.2544903,POINT (-73.2544903 45.305771)
Brossard,V,91525,85721,6.8,33255,35885,7.9,67000,72500,8.2,45.4514357,-73.4619103,POINT (-73.4619103 45.4514357)
Repentigny,V,86100,84285,2.2,33320,34170,2.6,71500,77500,8.4,45.7532854,-73.4400814,POINT (-73.4400814 45.7532854)
Saint-Jérôme,V,80213,74346,7.9,33640,37370,11.1,49600,55200,11.3,45.775357,-74.004948,POINT (-74.004948 45.775357)
Mirabel,V,61108,50513,21,19630,24795,26.3,69000,76000,10.1,45.65189590000001,-74.09016960000001,POINT (-74.09016960000001 45.65189590000001)
Blainville,V,59819,56863,5.2,20600,22425,8.9,82000,88000,7.3,45.6688961,-73.8728751,POINT (-73.8728751 45.6688961)
Mascouche,V,51183,46692,9.6,17900,19980,11.6,71500,78000,9.1,45.7773374,-73.6323926,POINT (-73.6323926 45.7773374)
Châteauguay,V,50815,47906,6.1,18800,19920,6,62400,69000,10.6,45.36015889999999,-73.74940330000001,POINT (-73.74940330000001 45.36015889999999)
Dollard-Des Ormeaux,V,48403,48899,-1,17210,17380,1,73500,82000,11.6,45.4895636,-73.8205567,POINT (-73.8205567 45.4895636)
Saint-Eustache,V,45276,44008,2.9,18350,18955,3.3,62800,69000,9.9,45.5585489,-73.89607520000001,POINT (-73.89607520000001 45.5585489)
Vaudreuil-Dorion,V,43268,38117,13.5,14450,16715,15.7,70500,76000,7.8,45.404236,-74.03795989999999,POINT (-74.03795989999999 45.404236)
Boucherville,V,41743,41671,0.2,16885,17290,2.4,85000,90000,5.9,45.5913698,-73.4364097,POINT (-73.4364097 45.5913698)
Côte-Saint-Luc,V,34504,32448,6.3,13490,14600,8.2,56400,63600,12.8,45.4680498,-73.6729464,POINT (-73.6729464 45.4680498)
Pointe-Claire,V,33488,31380,6.7,12375,13315,7.6,72500,78000,7.6,45.4719655,-73.7990191,POINT (-73.7990191 45.4719655)
Chambly,V,31444,29120,8,11245,12405,10.3,76000,84000,10.5,45.4409293,-73.3015764,POINT (-73.3015764 45.4409293)
Sainte-Julie,V,30045,29881,0.5,11080,11610,4.8,84000,89000,6,45.5924997,-73.3426988,POINT (-73.3426988 45.5924997)
Saint-Constant,V,29954,27359,9.5,10110,11310,11.9,78500,85000,8.3,45.379181,-73.56449130000001,POINT (-73.56449130000001 45.379181)
Boisbriand,V,28308,26884,5.3,10290,11425,11,69000,74500,8,45.6130933,-73.8387661,POINT (-73.8387661 45.6130933)
Sainte-Thérèse,V,26533,25989,2.1,12170,12685,4.2,51200,56400,10.2,45.6397183,-73.8439099,POINT (-73.8439099 45.6397183)
La Prairie,V,26406,24110,9.5,9700,11050,13.9,72000,76500,6.3,45.4159003,-73.4830021,POINT (-73.4830021 45.4159003)
Saint-Bruno-de-Montarville,V,26273,26197,0.3,10225,10445,2.2,87000,94000,8,45.5298901,-73.3453766,POINT (-73.3453766 45.5298901)
Beloeil,V,24104,22458,7.3,9100,10140,11.4,71500,76000,6.3,45.5679246,-73.20394689999999,POINT (-73.20394689999999 45.5679246)
Saint-Lin--Laurentides,V,24030,20786,15.6,8080,9290,15,58400,68500,17.3,45.852058,-73.7593842,POINT (-73.7593842 45.852058)
L'Assomption,V,23442,22429,4.5,8735,9205,5.4,68000,74500,9.6,45.8519896,-73.4123978,POINT (-73.4123978 45.8519896)
Candiac,V,22997,21047,9.3,7835,8730,11.4,89000,92000,3.4,45.3806689,-73.5077689,POINT (-73.5077689 45.3806689)
Saint-Lambert,V,22761,21861,4.1,9815,10555,7.5,69000,72500,5.1,45.4920344,-73.50417519999999,POINT (-73.50417519999999 45.4920344)
Saint-Lazare,V,22354,19917,12.2,6745,7750,14.9,95000,100000,5.3,45.39981299999999,-74.137765,POINT (-74.137765 45.39981299999999)
Varennes,V,21198,21257,-0.3,8160,8415,3.1,81000,86000,6.2,45.6810341,-73.43749729999999,POINT (-73.43749729999999 45.6810341)
Mont-Royal,V,20953,20276,3.3,7370,7730,4.9,95000,99000,4.2,45.5141938,-73.6443176,POINT (-73.6443176 45.5141938)
Sainte-Marthe-sur-le-Lac,V,19797,18074,9.5,6870,7505,9.2,74000,82000,10.8,45.52908739999999,-73.9325655,POINT (-73.9325655 45.52908739999999)
Westmount,V,19658,20312,-3.2,8685,8590,-1.1,86000,92000,7,45.48571889999999,-73.59569929999999,POINT (-73.59569929999999 45.48571889999999)
Kirkland,V,19413,20151,-3.7,6680,6670,-0.1,101000,104000,3,45.4560415,-73.8623337,POINT (-73.8623337 45.4560415)
Dorval,V,19302,18980,1.7,8390,8715,3.9,59600,66000,10.7,45.4503213,-73.75004849999999,POINT (-73.75004849999999 45.4503213)
Beaconsfield,V,19277,19324,-0.2,6665,6750,1.3,106000,110000,3.8,45.4309308,-73.86828349999999,POINT (-73.86828349999999 45.4309308)
Mont-Saint-Hilaire,V,18859,18585,1.5,7495,7770,3.7,80000,85000,6.3,45.5640416,-73.1790126,POINT (-73.1790126 45.5640416)
Deux-Montagnes,V,17915,17496,2.4,7095,7265,2.4,67000,73000,9,45.5412324,-73.9012071,POINT (-73.9012071 45.5412324)
Saint-Colomban,V,17740,16019,10.7,5955,6630,11.3,74000,84000,13.5,45.7399955,-74.13785469999999,POINT (-74.13785469999999 45.7399955)
Sainte-Catherine,V,17347,17047,1.8,6755,6910,2.3,69000,75500,9.4,45.39582,-73.5657429,POINT (-73.5657429 45.39582)
Saint-Basile-le-Grand,V,17053,17059,0,6390,6560,2.7,83000,89000,7.2,45.5237547,-73.2832289,POINT (-73.2832289 45.5237547)
Sainte-Anne-des-Plaines,V,15221,14421,5.5,5260,5880,11.8,65000,69500,6.9,45.7596011,-73.8151201,POINT (-73.8151201 45.7596011)
