ADRESSE,COORDONNEE_SPATIALE_X,COORDONNEE_SPATIALE_Y,ELEVATION_TERRAIN,ID_BI,ID_POINT,JURIDICTION,PRECISION_DATE_INSTALL,PROPRIETAIRE,PROVENANCE_DONNEE,LATITUDE,LONGITUDE
430 rue de Bonsecours,300735.516,5041116.762,25.684,5020413,5262933,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.509967657473,-73.55201880782019
88 boulevard René-Lévesque Ouest,299926.983,5040845.13,23.224,5020476,5262996,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50751818200093,-73.56236394579373
1110-1116 boulevard Saint-Laurent,299979.9,5040977.088,24.602,5020477,5262997,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50870595613608,-73.56168803626788
160 chemin du Tour-de-l'Isle,302614.124,5041650.945,14.87,5020692,5267508,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51478285971889,-73.5279790324186
1316 boulevard Mont-Royal,296744.791,5041332.756,126.041,5020735,5268022,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51187644605707,-73.60309629326021
25 avenue Maplewood,297348.895,5041727.197,99.864,5020858,5269318,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51543257111976,-73.5953705676454
5445 rue Marquis,297109.621,5049762.01,42.23,7921,22471,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58772994237065,-73.59855984096474
444 rue des Oblats,292976.593,5032670.021,31.437,7933,22498,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.43387166339201,-73.65111593783004
6065-6069 rue de Honfleur,297753.101,5050355.51,40.04,7936,22508,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59307729526307,-73.5903216498455
23-27 69e avenue,294765.416,5030782.865,24.059,7155,20501,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.41691803998462,-73.62821491108096
411 rue Louis-Fortier,293141.88,5032532.572,37.052,7356,21007,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.43263758907297,-73.64900021579935
8760 rue Marconi,296188.179,5049110.025,38.155,7287,20833,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.58185240988419,-73.61035743253484
1769-1771 chemin Canora,293187.254,5042051.685,45.676,10005131,12105906,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,MONT-ROYAL,RELEVE TERRAIN INTERNE,45.51829551970358,-73.64864470675903
6360-6364 rue Notre-Dame Est,303299.501,5048047.493,14.351,10003265,10070789,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.57234271699334,-73.51922641514018
1080 avenue Dollard,295206.438,5031602.093,27.745,10005267,12106902,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.42429603167121,-73.62259597018965
5008 rue Léger,278500.94,5040668.375,29.819,10003450,10072301,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50544822947239,-73.83655339379192
8465 rue Sherbrooke Est,302287.802,5051316.136,31.899,10003409,10072080,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.60175231476352,-73.53220545024256
8671-8675 rue De Forbin-Janson,302244.762,5051637.977,30.236,10003413,10072095,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.604648198347554,-73.53275891700693
12761 rue Berry,278287.524,5040807.216,28.483,10004051,10083446,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50668948091473,-73.83929197632759
