nb_fire_hydrant,INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES
416,129,2005-01-01 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5707375662875,-73.6502214385017,4
416,2187,2005-01-18 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5726240304852,-73.6612504043101,3
416,3745,2005-01-26 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5669556551118,-73.658544555758,3
416,3849,2005-01-26 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5701916379506,-73.6506742490228,5
416,5243,2005-02-05 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5769176889464,-73.640497996928,5
416,5347,2005-02-06 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5775041157255,-73.6458264297014,1
416,5637,2005-02-08 00:00:00,"Feu d'auto (voie rapide)",Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5535127444577,-73.6240089365119,2
416,5709,2005-02-09 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5673101135874,-73.6438041708353,4
416,5725,2005-02-09 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5673101135874,-73.6438041708353,6
416,7175,2005-02-21 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5567401996442,-73.6420257779,8
416,8498,2005-03-05 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5794664723315,-73.6481526194521,7
416,8669,2005-03-06 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5782309403426,-73.6452012362808,1
416,8792,2005-03-07 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5820909136916,-73.6511371813443,5
416,10066,2005-03-18 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,43,Montréal,Montréal-Nord,21,45.5986583916477,-73.6402282837798,29
416,11000,2005-03-26 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5809235261667,-73.6513902426588,5
416,11985,2005-04-03 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5653826942614,-73.6608901247738,4
416,12695,2005-04-09 00:00:00,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5743500278438,-73.6405628979523,5
416,12884,2005-04-10 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5604927117629,-73.6580554778403,1
416,12972,2005-04-11 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5611334096419,-73.6576215948789,1
416,14639,2005-04-22 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5633083408399,-73.6619218519232,1
416,14842,2005-04-24 00:00:00,Feu de bâtiment,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5716279873085,-73.6481235134983,12
416,16035,2005-05-04 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5702513793087,-73.6584641986302,1
416,16196,2005-05-05 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5626762888771,-73.6570075974642,1
416,16693,2005-05-09 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5638567086811,-73.6557389214791,1
416,17929,2005-05-18 00:00:00,Feu de véhicule extérieur,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5600874555297,-73.6579958330938,1
416,18177,2005-05-20 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.571499045782,-73.6538416034116,1
416,20244,2005-06-05 00:00:00,10-22 avec feu,Incendies de bâtiments,43,Montréal,Ahuntsic / Cartierville,21,45.5656835895076,-73.6477249083523,7
416,20524,2005-06-07 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5582226193269,-73.6329784553022,1
416,22767,2005-06-19 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5661264538851,-73.6544999035604,1
416,24035,2005-06-27 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5580375435946,-73.6466621842118,1
416,24093,2005-06-27 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5614524116021,-73.6487728009538,1
416,24277,2005-06-28 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5781179034001,-73.6559177715467,1
416,24322,2005-06-29 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5820909136916,-73.6511371813443,5
416,24627,2005-06-30 00:00:00,Feu de champ *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5593161153227,-73.6512878226644,1
416,26719,2005-07-12 00:00:00,Feu de véhicule extérieur,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5782309403426,-73.6452012362808,1
416,26812,2005-07-12 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5741116849917,-73.6502303553225,2
416,28655,2005-07-25 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.579024269914,-73.6699183689223,1
416,29138,2005-07-29 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5593188501711,-73.6512336170314,1
416,29506,2005-08-01 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5801388938512,-73.6475945460732,1
416,30194,2005-08-07 00:00:00,Déchets en feu,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5733422775975,-73.6581448636822,1
