CASERNE,NO_CIVIQUE,RUE,LATITUDE,LONGITUDE,ARRONDISSEMENT,VILLE,DATE_DEBUT,DATE_FIN,MTM8_X,MTM8_Y
3,256,rue  Young,45.4934543793718,-73.56017200322259,LE SUD-OUEST,,2015-01-01T07:00:00,,300097.0,5039283.0
15,1255,rue de la Sucrerie,45.484419475881396,-73.56091713450859,LE SUD-OUEST,,2015-01-01T07:00:00,,300038.0,5038279.0
23,523,place Saint-Henri,45.477820050794,-73.58525661912641,LE SUD-OUEST,,2015-01-01T07:00:00,,298134.6,5037547.3
33,6040,boulevard Monk,45.45784136875239,-73.5954499348277,LE SUD-OUEST,,2015-01-01T07:00:00,,297335.0,5035328.0
9,8100,boulevard Saint-Michel,45.5637484701804,-73.6101688625091,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2019-05-06T07:00:00,,296200.0,5047099.0
37,795,rue Jarry Est,45.5463734869714,-73.6267575593049,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2015-01-01T07:00:00,,294902.0,5045170.0
41,7405,avenue Champagneur,45.52763027341721,-73.62638261582059,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2019-05-06T07:00:00,,294928.0,5043087.0
14,8216,boulevard Maurice-Duplessis,45.633602351450605,-73.586222820932,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,298077.6,5054859.7
38,14201,rue Sherbrooke Est,45.672221401827095,-73.50512113343441,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,304401.0,5059148.0
44,12145,boulevard Rivière-des-Prairies,45.652651143266795,-73.562934043292,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,299895.0,5056975.0
32,16101,rue Sherbrooke Est,45.6970521860186,-73.49236717849321,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,305394.4,5061907.6
4,5260,rue Van Horne,45.489989943854894,-73.641637937585,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE,,2019-05-06T07:00:00,,293729.0,5038906.0
27,5353,rue Gatineau,45.4973914651673,-73.6219517390426,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE,,2019-05-06T07:00:00,,295269.0,5039726.0
34,5369,chemin de la Côte-Saint-Antoine,45.475452136307794,-73.614255870437,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE,,2019-05-06T07:00:00,,295867.0,5037287.0
46,4760,avenue Cumberland,45.4670027027916,-73.6385238893533,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE,,2015-01-01T07:00:00,,293968.0,5036351.0
17,4240,rue de Charleroi,45.5934135172589,-73.6372837472013,MONTRÉAL-NORD,,2015-01-01T07:00:00,,294089.0,5050399.0
18,12012,boulevard Rolland,45.6166110096517,-73.6215046694016,MONTRÉAL-NORD,,2015-01-01T07:00:00,,295324.0,5052975.0
16,1041,rue Rachel Est,45.52581296219629,-73.5749028744983,LE PLATEAU-MONT-ROYAL,,2019-05-06T07:00:00,,298949.0,5042880.0
26,2151,avenue Mont-Royal Est,45.5360280348549,-73.571933009301,LE PLATEAU-MONT-ROYAL,,2015-01-01T07:00:00,,299182.0,5044015.0
30,5,rue Laurier Ouest,45.5229649648134,-73.5932429899519,LE PLATEAU-MONT-ROYAL,,2015-01-01T07:00:00,,297516.0,5042565.0
21,6025,boulevard Lavoisier,45.597204283541295,-73.6002747741928,SAINT-LÉONARD,,2015-01-01T07:00:00,,296977.0,5050816.0
22,5455,rue Antonio-Dagenais,45.582863718290604,-73.5859736735737,SAINT-LÉONARD,,2015-01-01T07:00:00,,298091.0,5049221.0
28,7650,boulevard Châteauneuf,45.6028391266366,-73.55872486930079,ANJOU,,2015-01-01T07:00:00,,300219.0,5051439.0
29,5375,1ère Avenue,45.54534760065639,-73.57617101316191,ROSEMONT-LA PETITE-PATRIE,,2015-01-01T07:00:00,,298852.0,5045051.0
31,7041,rue Saint-Dominique,45.53472329203779,-73.6156945768854,ROSEMONT-LA PETITE-PATRIE,,2019-05-06T07:00:00,,295764.0,5043874.0
47,2111,rue Saint-Zotique Est,45.547517606141604,-73.5979836216596,ROSEMONT-LA PETITE-PATRIE,,2015-01-01T07:00:00,,297149.0,5045294.0
50,6490,30e Avenue,45.5668631280531,-73.5754570185447,ROSEMONT-LA PETITE-PATRIE,,2015-01-01T07:00:00,,298910.0,5047442.0
2,10,chemin du Tour-de-L'Isle,45.518990562262495,-73.5347326082121,VILLE-MARIE,,2015-01-01T07:00:00,,302086.6,5042119.7
5,75,rue Ontario Est,45.5122394056785,-73.56684729415409,VILLE-MARIE,,2015-01-01T07:00:00,,299577.0,5041371.0
10,1445,rue Saint-Mathieu,45.4945669363569,-73.5801455406789,VILLE-MARIE,,2015-01-01T07:00:00,,298536.0,5039408.0
19,2000,rue de Lorimier,45.527982453089294,-73.55796836109691,VILLE-MARIE,,2015-01-01T07:00:00,,300272.0,5043120.0
20,920,rue Saint-Urbain,45.5059356891286,-73.5591487444205,VILLE-MARIE,,2015-01-01T07:00:00,,300178.0,5040670.0
25,1212,rue Drummond,45.497811061676906,-73.5730871757798,VILLE-MARIE,,2015-01-01T07:00:00,,299088.0,5039768.0
13,3250,rue Sainte-Catherine Est,45.539867890136605,-73.5403098915477,MERCIER-HOCHELAGA-MAISONNEUVE,,2015-01-01T07:00:00,,301652.0,5044440.0
39,2915,rue Monsabré,45.5725217899582,-73.5433184970308,MERCIER-HOCHELAGA-MAISONNEUVE,,2015-01-01T07:00:00,,301419.0,5048069.0
40,8639,avenue Pierre-De-Coubertin,45.6013402913844,-73.5226894001655,MERCIER-HOCHELAGA-MAISONNEUVE,,2015-01-01T07:00:00,,303030.0,5051271.0
45,5100,rue Hochelaga,45.5630113008474,-73.54126155009929,MERCIER-HOCHELAGA-MAISONNEUVE,,2015-01-01T07:00:00,,301579.0,5047012.0
48,3616,rue Hochelaga,45.5473233393061,-73.550829390422,MERCIER-HOCHELAGA-MAISONNEUVE,,2015-01-01T07:00:00,,300831.0,5045269.0
75,40,avenue Saint-Just,45.5177601144633,-73.60780072024271,OUTREMONT,,2015-01-01T07:00:00,,296378.0,5041988.0
64,3175,rue Remembrance,45.437285766761796,-73.69109896875,LACHINE,,2015-01-01T07:00:00,,289849.0,5033057.0
