INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
15,2005-01-01,Déchets en feu,Autres incendies,22,Saint-Léonard,Saint-Léonard,20,45.5851244745697,-73.5663238487249,4.0,Other fires
92,2005-01-01,Déchets en feu,Autres incendies,47,Montréal,Rosemont / Petite-Patrie,22,45.5348981471326,-73.5949947896722,1.0,Other fires
129,2005-01-01,Feu de cheminée *,Autres incendies,43,Montréal,Ahuntsic / Cartierville,21,45.5707375662875,-73.6502214385017,4.0,Other fires
135,2005-01-01,10-22 avec feu,Incendies de bâtiments,15,Montréal,Sud-Ouest,15,45.4748044019775,-73.5610675658363,7.0,Building fire
139,2005-01-01,10-22 avec feu,Incendies de bâtiments,41,Montréal,Villeray / St-Michel / Parc Extension,20,45.5253586864999,-73.621536167714,8.0,Building fire
161,2005-01-01,10-22 avec feu,Incendies de bâtiments,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.637493193714,-73.6010400818085,3.0,Building fire
165,2005-01-01,Feu de véhicule extérieur,Autres incendies,76,Westmount,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.4923502882677,-73.6331392642355,1.0,Other fires
184,2005-01-01,Feu de véhicule extérieur,Autres incendies,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5577307221548,-73.6112625230044,1.0,Other fires
200,2005-01-01,10-22 avec feu,Incendies de bâtiments,53,Beaconsfield,Beaconsfield / Baie d'Urfé,12,45.42155592381,-73.8970787945224,3.0,Building fire
242,2005-01-02,Feu de cheminée *,Autres incendies,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6370098877004,-73.5823323143896,3.0,Other fires
286,2005-01-02,Feu / Agravation possible,Incendies de bâtiments,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6396722239556,-73.5713805513096,16.0,Building fire
308,2005-01-02,Feu de véhicule extérieur,Autres incendies,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.625649227083,-73.598583736198,1.0,Other fires
309,2005-01-02,Feu de véhicule extérieur,Autres incendies,26,Montréal,Mont-Royal,22,45.5334026207337,-73.5756201134061,1.0,Other fires
325,2005-01-02,Feu de véhicule extérieur,Autres incendies,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6254153743128,-73.5989236633709,1.0,Other fires
345,2005-01-03,Déchets en feu,Autres incendies,15,Montréal,Sud-Ouest,15,45.4788772355348,-73.5686943627661,7.0,Other fires
354,2005-01-03,Déchets en feu,Autres incendies,21,Saint-Léonard,Saint-Léonard,20,45.5940043847359,-73.596275593544,1.0,Other fires
363,2005-01-03,10-22 avec feu,Incendies de bâtiments,18,Montréal-Nord,Montréal-Nord,21,45.6175434472363,-73.6227681831436,1.0,Building fire
398,2005-01-03,Feu de cheminée *,Autres incendies,54,Kirkland,Kirkland,12,45.4413486303749,-73.9040970327353,3.0,Other fires
399,2005-01-03,Feu de bâtiment,Incendies de bâtiments,33,Montréal,Sud-Ouest,15,45.4558255792001,-73.6014796239271,10.0,Building fire
400,2005-01-03,Feu de cheminée *,Autres incendies,76,Westmount,Westmount,17,45.4816554508132,-73.6093441982493,5.0,Other fires
409,2005-01-03,Feu de cheminée *,Autres incendies,14,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6262451380742,-73.5879165422003,2.0,Other fires
412,2005-01-03,Feu de véhicule extérieur,Autres incendies,33,Montréal,Sud-Ouest,15,45.4665947969976,-73.5999221081693,1.0,Other fires
426,2005-01-03,Déchets en feu,Autres incendies,20,Montréal,Ville-Marie,18,45.5150031944086,-73.551690562489,1.0,Other fires
443,2005-01-03,Feu / Agravation possible,Incendies de bâtiments,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5798443858041,-73.6170330123649,18.0,Building fire
452,2005-01-03,Déchets en feu,Autres incendies,23,Montréal,Sud-Ouest,15,45.4697095374521,-73.589176640406,1.0,Other fires
453,2005-01-03,10-22 avec feu,Incendies de bâtiments,27,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.492559020656,-73.6312739541517,6.0,Building fire
456,2005-01-03,Déchets en feu,Autres incendies,35,Montréal,Ahuntsic / Cartierville,21,45.5531803529414,-73.6611206453918,1.0,Other fires
462,2005-01-04,Feu de bâtiment,Incendies de bâtiments,17,Montréal-Nord,Montréal-Nord,21,45.5847661267886,-73.6308153554885,10.0,Building fire
472,2005-01-04,Feu de véhicule extérieur,Autres incendies,49,Montréal,Ahuntsic / Cartierville,21,45.5487489918651,-73.6459132169499,1.0,Other fires
477,2005-01-04,10-22 avec feu,Incendies de bâtiments,44,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6577516666723,-73.5736430968509,4.0,Building fire
487,2005-01-04,10-22 avec feu,Incendies de bâtiments,29,Montréal,Rosemont / Petite-Patrie,22,45.5493930136458,-73.5671830297537,5.0,Building fire
497,2005-01-04,10-22 avec feu,Incendies de bâtiments,72,Saint-Laurent,Saint-Laurent,13,45.5040406029951,-73.7009641366331,3.0,Building fire
507,2005-01-04,10-22 avec feu,Incendies de bâtiments,65,Lasalle,LaSalle,14,45.4517470906176,-73.6059793342003,7.0,Building fire
515,2005-01-04,10-22 avec feu,Incendies de bâtiments,44,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.6554091540462,-73.5640378197821,3.0,Building fire
545,2005-01-04,Feu de véhicule extérieur,Autres incendies,65,Lasalle,LaSalle,14,45.435636059065,-73.6125396855177,1.0,Other fires
546,2005-01-04,Déchets en feu,Autres incendies,40,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5966762809735,-73.5356777223578,1.0,Other fires
548,2005-01-04,10-22 avec feu,Incendies de bâtiments,73,Saint-Laurent,Saint-Laurent,13,45.5281270767691,-73.679549046925,6.0,Building fire
556,2005-01-04,10-22 avec feu,Incendies de bâtiments,30,Montréal,Mont-Royal,22,45.5147017919823,-73.5781444270389,8.0,Building fire
563,2005-01-04,Déchets en feu,Autres incendies,20,Montréal,Ville-Marie,18,45.5150031944086,-73.551690562489,1.0,Other fires
566,2005-01-04,Feu de véhicule extérieur,Autres incendies,38,Montréal,Rivière-des-Prairies / Pointe-aux-Trembles,25,45.672088313573,-73.503789337256,1.0,Other fires
568,2005-01-04,Feu de véhicule extérieur,Autres incendies,65,Lasalle,LaSalle,14,45.430250555598,-73.6454978599727,1.0,Other fires
