YEAR,MONTH,CASERNE,INCIDENT_COUNT,RISK_LEVEL,MONTH_SIN,MONTH_COS,LAG1_RISK_LEVEL,LAG1_INCIDENT_COUNT,TEMPERATURE_MAX,CRIME_COUNT,TOTAL_BUILDING_AREA,TOTAL_BUILDINGS,RESIDENTIAL,PUBLIC_SERVICES,AVG_FLOORS
2005,2,3,1.0,Low,0.8660254037844386,0.5000000000000001,Low,0.0,3.6,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,3,3,3.0,Low,1.0,6.123233995736766e-17,Low,1.0,13.4,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,4,3,3.0,Low,0.8660254037844387,-0.4999999999999998,Low,3.0,20.1,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,5,3,1.0,Low,0.49999999999999994,-0.8660254037844387,Low,3.0,23.1,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,6,3,2.0,Low,1.2246467991473532e-16,-1.0,Low,1.0,30.5,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,7,3,1.0,Low,-0.4999999999999997,-0.8660254037844388,Low,2.0,30.9,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,8,3,2.0,Low,-0.8660254037844384,-0.5000000000000004,Low,1.0,29.2,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,9,3,3.0,Low,-1.0,-1.8369701987210297e-16,Low,2.0,28.0,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,10,3,1.0,Low,-0.8660254037844386,0.5000000000000001,Low,3.0,24.4,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,11,3,0.0,Low,-0.5000000000000004,0.8660254037844384,Low,1.0,15.4,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2005,12,3,1.0,Low,-2.4492935982947064e-16,1.0,Low,0.0,2.4,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,1,3,4.0,Low,0.49999999999999994,0.8660254037844387,Low,1.0,5.2,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,2,3,0.0,Low,0.8660254037844386,0.5000000000000001,Low,4.0,5.7,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,3,3,1.0,Low,1.0,6.123233995736766e-17,Low,0.0,18.8,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,4,3,4.0,Low,0.8660254037844387,-0.4999999999999998,Low,1.0,20.8,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,5,3,2.0,Low,0.49999999999999994,-0.8660254037844387,Low,4.0,28.5,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,6,3,2.0,Low,1.2246467991473532e-16,-1.0,Low,2.0,29.6,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,7,3,1.0,Low,-0.4999999999999997,-0.8660254037844388,Low,2.0,30.9,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,8,3,0.0,Low,-0.8660254037844384,-0.5000000000000004,Low,1.0,31.2,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,9,3,0.0,Low,-1.0,-1.8369701987210297e-16,Low,0.0,24.5,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,10,3,1.0,Low,-0.8660254037844386,0.5000000000000001,Low,0.0,19.2,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,11,3,2.0,Low,-0.5000000000000004,0.8660254037844384,Low,1.0,14.8,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2006,12,3,1.0,Low,-2.4492935982947064e-16,1.0,Low,2.0,7.0,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2007,1,3,1.0,Low,0.49999999999999994,0.8660254037844387,Low,1.0,7.4,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2007,2,3,1.0,Low,0.8660254037844386,0.5000000000000001,Low,1.0,-1.1,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
2007,3,3,2.0,Low,1.0,6.123233995736766e-17,Low,1.0,13.0,1645.0,1233617.0,10148.0,8572.0,4.0,1.100185960018596
