CASERNE,year,month,temperature_max,temperature_min,temperature_mean,precipitation_sum,wind_speed_max,wind_gusts_max,total_buildings,avg_floors,avg_units_per_building,median_construction_year,total_building_area,total_land_area,Commercial,Industrial,Infrastructure,Other,Public_Services,Recreational,Residential,Vacant_Unused,crime_count,méfait_count,introduction_count,vols_qualifiés_count,hydrant_count,population,area_square_km,lag1_incident_count,incident_count,risk_level
3,2005,2,3.6,-23.0,-8.4,52.2,26.3,56.9,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,0.0,1,Low
3,2005,3,13.4,-19.9,-5.1,41.5,30.600000000000005,69.8,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,1.0,3,Low
3,2005,4,20.1,-4.5,5.400000000000001,159.4,27.5,70.6,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,3.0,3,Low
3,2005,5,23.1,-1.2,9.6,65.7,27.8,58.7,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,3.0,1,Low
3,2005,6,30.5,8.8,19.6,124.5,25.2,54.4,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,1.0,2,Low
3,2005,7,30.9,11.5,20.9,106.9,20.9,52.6,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,2.0,1,Low
3,2005,8,29.2,10.7,20.2,113.5,23.6,63.0,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,1.0,2,Low
3,2005,9,28.0,5.5,16.2,142.6,37.9,88.2,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,2.0,3,Low
3,2005,10,24.4,-3.1,8.9,115.0,29.8,64.1,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,3.0,1,Low
3,2005,12,2.4,-23.2,-7.1,70.0,27.2,57.2,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,72464.0,15.7,1.0,1,Low
3,2006,1,5.2,-20.8,-6.6,133.4,35.0,70.6,10148.0,1.100185960018596,1.5087451578823805,2017.0,1233617.0,838456.0,196.0,1.0,419.0,66.0,4.0,3.0,8572.0,887.0,1645.0,371.0,515.0,70.0,139.0,71442.0,15.7,1.0,4,Low
