CODE,MUNICIPALITY/BOROUGH,AREA_SQUARE_KM
66112,Baie-D'Urfé,6
66107,Beaconsfield,11
66058,Côte-Saint-Luc,6.9
66142,Dollard-Des-Ormeaux,15.2
66087,Dorval,20.9
66092,L'Île-Dorval,0.2
66062,Hampstead,1.8
66102,Kirkland,9.6
66072,Mont-Royal,7.6
66007,Montréal-Est,12.5
66047,Montréal-Ouest,1.4
66097,Pointe-Claire,18.8
66117,Sainte-Anne-De-Bellevue,10.6
66127,Senneville,7.5
66032,Westmount,4
REM05,Outremont,3.9
REM09,Anjou,13.7
REM12,Verdun,9.7
REM14,Saint-Léonard,13.5
REM15,Saint-Laurent,42.8
REM16,Montréal-Nord,11.1
REM17,Lasalle,16.3
REM19,Ville-Marie,16.5
REM20,Le Sud-Ouest,15.7
REM21,Le Plateau-Mont-Royal,8.1
REM22,Mercier-Hochelaga-Maisonneuve,25.4
REM23,Ahuntsic-Cartierville,24.2
REM24,Rosemont-La Petite-Patrie,15.9
REM25,Villeray-Saint-Michel-Parc-Extension,16.5
REM27,Lachine,17.7
REM31,Pierrefonds-Roxboro,27.1
REM32,L'Île-Bizard-Sainte-Geneviève,23.6
REM33,Rivière-Des-Prairies-Pointe-Aux-Trembles,42.3
REM34,Côte-Des-Neiges-Notre-Dame-De-Grâce,21.4
