CODE,MUNICIPALITY/BOROUGH,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
66112,Baie-D'Urfé,3965,3965,3953,3984,3946,3928,3881,3882,3896,3878,3873,3900,3847,3890,3907,3922,3944,3962,3889,3710
66107,Beaconsfield,20183,20183,20262,19517,19168,19378,19816,20046,19484,19547,19847,19801,19957,20075,19588,19977,19942,20124,19755,19290
66058,Côte-Saint-Luc,31739,31739,31764,31965,31458,32294,32703,33140,32622,32914,33392,33847,34066,34464,33644,34761,35117,34911,35419,37833
66142,Dollard-Des-Ormeaux,50738,50738,50707,49940,49430,49445,49902,50154,49819,50114,50700,50789,51050,51200,49424,50453,50302,49696,49908,50171
66087,Dorval,18276,18311,18297,18445,18238,18231,18615,19013,18575,18849,19170,19426,19579,19763,19535,20040,19907,19735,19993,20382
66092,L'Île-Dorval,2,2,2,0,0,0,0,0,5,6,6,5,5,5,5,5,5,5,5,9
66062,Hampstead,7231,7231,7262,7151,7140,7202,7311,7380,7311,7283,7283,7279,7348,7433,7143,7350,7472,7473,7372,7469
66102,Kirkland,21541,21735,21696,20888,20709,20576,20787,20965,21269,21154,21432,21270,21132,21044,19951,20298,20046,20081,19930,19564
66072,Mont-Royal,20894,19400,19361,19276,19007,19088,19423,19950,19702,20073,20612,20869,21198,21553,21146,22027,21844,21798,21439,21775
66007,Montréal-Est,3796,3796,3887,3923,3822,3836,3876,3928,3796,3765,3875,3846,3886,3963,3874,4012,4094,4305,4456,4808
66047,Montréal-Ouest,5321,5321,5339,5285,5195,5175,5256,5321,5083,5166,5236,5212,5228,5289,5183,5287,5300,5395,5839,5250
66097,Pointe-Claire,30405,30581,30624,30732,30354,30882,31125,31456,30932,31128,31393,31898,32301,32611,32045,33382,33714,34175,34548,35429
66117,Sainte-Anne-De-Bellevue,5336,5336,5379,5306,5381,5265,5335,5363,4968,5012,5005,4980,4975,5035,5182,5038,5048,5020,5026,5380
66127,Senneville,1028,1028,1032,967,958,961,995,991,927,937,920,929,942,964,952,981,973,994,1003,1016
66032,Westmount,20055,20003,19701,20865,20548,20487,20827,21019,20007,20111,20419,20621,20648,20780,20938,20974,21152,20687,19938,20093
REM05,Outremont,23363,23239,23121,23418,23586,23923,24535,24846,24076,24251,24762,25043,25167,25425,25067,25826,26456,26159,26505,27075
REM09,Anjou,39164,39628,39870,41821,40426,41767,42641,43209,42770,43434,44043,44567,44985,45174,44800,45994,46570,45484,45288,45667
REM12,Verdun,63000,63635,64069,67581,65018,67728,68959,70010,67047,67828,69681,70527,71162,71676,71225,72419,73270,71850,72820,76017
REM14,Saint-Léonard,71344,71243,70880,73981,71548,73232,74769,76372,77579,78858,80773,81777,82591,83049,80811,82841,84116,82241,80983,83571
REM15,Saint-Laurent,81328,82566,83543,86763,86681,90029,91946,95430,96645,99334,100115,101530,103129,104402,102684,105248,106927,103967,104366,110365
REM16,Montréal-Nord,86833,86589,85912,85820,84046,82718,84100,84950,85128,86185,88064,89145,89190,89505,85754,87928,89240,86786,86857,93250
REM17,Lasalle,75601,75796,75407,76464,75581,75908,76958,78053,75898,76707,78477,79651,80087,81013,79883,82064,83085,81329,82933,90975
REM19,Ville-Marie,72464,75880,76834,80569,76526,83683,85128,84910,84677,86105,87993,88799,89920,91181,92686,95231,96906,95653,103017,117823
REM20,Le Sud-Ouest,72464,71442,70028,73015,69671,70876,71412,74445,73289,73688,75530,78027,79716,80622,81465,84299,85818,84629,86347,93088
REM21,Le Plateau-Mont-Royal,101079,103344,102791,103353,103281,102234,103271,103383,101457,102498,104045,105139,105587,105504,105971,108102,109337,106784,110329,113295
REM22,Mercier-Hochelaga-Maisonneuve,131224,133262,131360,132047,131375,132331,134179,136458,134104,134851,137734,139612,140750,141816,140411,144297,146027,143354,142753,149629
REM23,Ahuntsic-Cartierville,128851,130220,127690,129487,129069,127194,129623,132199,129353,131468,134263,136461,137554,137756,137259,141352,142934,139587,138923,144232
REM24,Rosemont-La Petite-Patrie,136214,136220,134747,136974,133862,135820,137058,138680,136370,137945,140764,142578,144235,145337,144164,147624,149268,146212,146501,151016
REM25,Villeray-Saint-Michel-Parc-Extension,148723,150101,146142,146074,147886,141866,143832,144816,144278,145355,148027,149075,149316,149591,145986,148202,148586,143797,144814,154204
REM27,Lachine,41785,41950,41818,42333,42444,42246,43084,44299,42833,43228,44551,45003,45188,45419,45743,46909,47672,46794,46971,50172
REM31,Pierrefonds-Roxboro,65156,65156,65790,66521,66850,67577,68839,69845,69708,70803,71859,72399,72677,72978,71232,73230,75044,73889,73194,74635
REM32,L'Île-Bizard-Sainte-Geneviève,17981,17981,18046,17990,18509,17984,18300,18644,18457,18587,18952,19123,19191,19399,19114,19688,20008,20034,19857,20022
REM33,Rivière-Des-Prairies-Pointe-Aux-Trembles,96551,96551,107556,107769,104832,107564,109018,110446,108307,108751,110415,111617,111861,112668,110993,114732,117151,115587,113868,114702
REM34,Côte-Des-Neiges-Notre-Dame-De-Grâce,170533,172760,168943,167982,169374,166555,169360,170787,166861,168186,171197,172961,173310,174543,172118,175560,176793,170545,173729,185463
