year,month,temperature_max,temperature_min,temperature_mean,precipitation_sum,wind_speed_max,wind_gusts_max
2005,1,8.8,-31.6,-13.4,47.1,27.6,68.4
2005,2,3.6,-23.0,-8.4,52.199999999999996,26.3,56.9
2005,3,13.4,-19.9,-5.1,41.5,30.6,69.8
2005,4,20.1,-4.5,5.4,159.4,27.5,70.6
2005,5,23.1,-1.2,9.6,65.7,27.8,58.7
2005,6,30.5,8.8,19.6,124.5,25.2,54.4
2005,7,30.9,11.5,20.9,106.9,20.9,52.6
2005,8,29.2,10.7,20.2,113.5,23.6,63.0
2005,9,28.0,5.5,16.2,142.6,37.9,88.2
2005,10,24.4,-3.1,8.9,115.0,29.8,64.1
2005,11,15.4,-11.0,1.8,119.2,32.8,76.7
2005,12,2.4,-23.2,-7.1,70.0,27.2,57.2
2006,1,5.2,-20.8,-6.6,133.4,35.0,70.6
2006,2,5.7,-23.0,-9.4,72.3,42.5,87.8
2006,3,18.8,-19.5,-2.8,37.4,33.3,66.2
2006,4,20.8,-7.7,5.6,112.8,30.9,62.6
2006,5,28.5,-0.0,12.2,143.6,26.2,57.6
2006,6,29.6,9.7,17.7,143.3,26.5,64.8
2006,7,30.9,11.6,21.2,68.2,29.5,67.7
2006,8,31.2,8.6,18.1,113.7,21.4,57.2
2006,9,24.5,5.1,13.7,89.3,42.7,92.5
2006,10,19.2,-2.0,6.8,142.5,38.0,91.1
2006,11,14.8,-4.8,3.1,92.9,27.1,73.1
2006,12,7.0,-19.4,-2.9,84.1,33.9,70.9
2007,1,7.4,-27.5,-9.0,62.900000000000006,27.1,57.6
2007,2,-1.1,-24.9,-12.7,25.5,29.6,61.6
2007,3,13.0,-28.3,-4.6,67.0,31.8,66.2
2007,4,23.6,-10.1,3.5,158.5,38.7,81.4
2007,5,28.9,0.3,11.8,66.7,30.4,61.9
2007,6,30.4,5.7,18.2,73.8,25.2,55.4
2007,7,27.8,9.9,18.7,114.4,21.8,54.7
2007,8,31.1,8.1,18.7,66.60000000000001,22.4,58.7
2007,9,30.5,5.3,15.8,58.9,26.1,64.8
2007,10,23.2,-1.5,10.3,105.5,30.0,61.9
2007,11,12.8,-12.6,-0.1,84.3,25.9,64.8
2007,12,6.4,-22.0,-8.2,124.0,31.7,78.5
2008,1,8.7,-24.8,-8.2,77.9,38.1,81.4
2008,2,5.8,-23.4,-9.2,92.5,26.7,58.7
2008,3,5.1,-17.8,-5.7,132.3,41.4,95.0
2008,4,21.7,-7.4,5.6,76.9,34.2,72.4
2008,5,22.6,-1.7,10.8,66.0,23.4,52.2
2008,6,28.2,9.4,17.8,146.9,22.7,55.1
